Index,Condo Name,Address,Postal Code
362,CORALIS,"530 Joo Chiat Road, 42771",427710
363,CORALS AT KEPPEL BAY,"1 Keppel Bay Drive, 98012",98012
364,CORONA VILLE,"35 Jalan Haji Alias, 268535",268535
365,CORONATION ARCADE,"5 Coronation Road, 269406",269406
366,CORONATION GROVE,"138 Coronation Road, 269525",269525
367,CORONATION SHOPPING PLAZA,"587 Bukit Timah Road, 269707",269707
368,COSMO,"18 Guillemard Crescent, 399914",399914
369,COSTA DEL SOL,"68 Bayshore Road, 469986",469986
370,COSTA ESTE,"42 Lorong K Telok Kurau, 425653",425653
371,COSY 23,"23 Lorong 30 Geylang, 398355",398355
372,COSY LODGE,"29 Lorong 31 Geylang, 388029",388029
373,COTE D'AZUR,"60 Marine Parade Road, 449297",449297
374,COUNTRY ESQUIRE,"20 Lorong Puntong, 576438",576438
375,COUNTRY GRANDEUR,"22 Lorong Puntong, 576439",576439
376,COUNTRY PARK CONDO,"37 Bedok Road, 469362",469362
377,COUNTRY PARK CONDOMINIUM,"37 Bedok Road, 46936",469360
378,CRADELS,"10 Lorong Limau, 328754",328754
379,CRAIG PLACE,"20 Craig Road, 89692",89692
380,CRANE COURT,"38 Crane Road, 429381",429381
381,CRESCENDO BUILDING,"17 Upper East Coast Road, 455208",455208
382,CRESCENDO PARK,"6 Jalan Tua Kong, 457269",457269
383,CROWN CENTRE,"557 Bukit Timah Road, 269694",269694
384,CRYSTAL COURT,"456 River Valley Road, 248342",248342
385,CRYSTAL DE AZURE,"18 How Sun Close, 538645",538645
386,CRYSTAL DEW,"10 Geylang East Avenue 1, 389781",389781
387,CRYSTAL HEIGHTS,"75 Pasir Panjang Hill, 118885",118885
388,CRYSTAL LODGE,"30 Lorong 16 Geylang, 39887",398870
389,CRYSTAL MANSIONS,"3 Lorong 6 Geylang, 399165",399165
390,CUBE 8,"376 Thomson Road, 29813",298130
391,CUBIK,"81 Lorong K Telok Kurau, 425711",425711
392,CYAN,"6 Keng Chin Road, 258709",258709
393,D - HERITAGE APARTMENTS,"43 Lengkong Empat, 417659",417659
394,D' PALMA,"18 Lorong Mydin, 416817",416817
395,D'CHATEAU @ SHELFORD,"25 Shelford Road, 288415",288415
396,D'ECOSIA,"27 Still Road South, 423936",423936
397,D'HIRO @ HILLSIDE,"61 Hillside Drive, 54901",549010
398,D'LEEDON,"13 Leedon Heights, 266224",266224
399,D'LOTUS,"10 Lorong Ampas, 328784",328784
400,D'MIRA,"31 Boon Teck Road, 329602",329602
401,D'NEST,"131 Pasir Ris Grove, 51813",518133
402,D'OASIA,"11 Lorong Melayu, 416905",416905
403,D'PAVILION,"803 Upper Serangoon Road, 534163",534163
404,D'SUNRISE,"8 Joo Chiat Lane, 428094",428094
405,D'WEAVE,"5 Lorong 39 Geylang, 387866",387866
406,D'ZIRE,"12 Robey Crescent, 54629",546290
407,DAHLIA PARK CONDOMINIUM,"1 Flora Drive, 507009",507009
408,DAISY LODGE,"3 Daisy Road, 359426",359426
409,DAISY SUITES,"35 Daisy Road, 359455",359455
410,DAKOTA RESIDENCES,"34 Dakota Crescent, 399936",399936
411,DALVEY COURT,"28 Dalvey Estate, 259548",259548
412,DARBY PARK,"12 Orange Grove Road, 258353",258353
413,DAWN VILLE,"1 Butterworth Lane, 439444",439444
414,DE LENTE,"104 Holland Road, 278547",278547
415,DE PARADISO,"20 Martaban Road, 328644",328644
416,DE ROYALE,"31 Jalan Rama Rama, 329111",329111
417,DELIGHT COURT,"16 Lorong 33 Geylang, 387982",387982
418,DENG FU VILLE,"30 Kampong Eunos, 417777",417777
419,DERBYSHIRE HEIGHTS,"3 Derbyshire Road, 309459",309459
420,DEVONSHIRE APARTMENTS,"17 Devonshire Road, 239849",239849
421,DEVONSHIRE RESIDENCES,"55 Devonshire Road, 239855",239855
422,DLV,"70 Dalvey Road, 259469",259469
423,DOMAIN 21,"21 Delta Road, 169813",169813
424,DOMUS,"8 Irrawaddy Road, 329564",329564
425,DONG XING COURT,"3 Tay Lian Teck Road, 45562",455620
426,DORMER PARK,"51 Jervois Road, 249045",249045
427,DORSET MANSIONS,"99 Dorset Road, 219493",219493
428,DORSETT RESIDENCES,"331 New Bridge Road, 88764",88764
429,DOVER PARKVIEW,"34 Dover Rise, 138681",138681
430,DRAYCOTT DRIVE,"7 Draycott Drive, 259421",259421
431,DRAYCOTT PARK,"1 Draycott Park, 259385",259385
432,DUBLIN LODGE,"28 Dublin Road, 239813",239813
